TransactionID,TransactionDate,StoreID,StoreName,TillNumber,CashierID,ShiftTime,SaleAmount,DiscountAmount,PaymentMethod,IsVoid
1001,2025-03-19,103,Abu Dhabi Khalidiyah,4,C008,Afternoon,1175.14,87.6,Digital Wallet,False
1002,2025-02-04,106,Ras Al Khaimah,1,C002,Evening,1793.66,0.0,Digital Wallet,False
1003,2025-03-26,101,Dubai Marina,3,C018,Morning,3073.61,812.07,Credit Card,False
1004,2025-02-05,103,Abu Dhabi Khalidiyah,2,C016,Morning,4247.83,487.22,Credit Card,False
1005,2025-01-26,105,Ajman Mall,3,C015,Evening,2082.85,0.0,Digital Wallet,False
1006,2025-01-21,105,Ajman Mall,3,C009,Morning,561.25,0.0,Credit Card,False
1007,2025-03-03,102,Dubai Mall,4,C007,Afternoon,1179.79,310.12,Digital Wallet,False
1008,2025-02-16,103,Abu Dhabi Khalidiyah,1,C035,Afternoon,3615.76,0.0,Digital Wallet,True
1009,2025-02-10,101,Dubai Marina,1,C006,Morning,2129.22,0.0,Cash,False
1010,2025-03-23,104,Sharjah City Centre,1,C038,Afternoon,4260.97,398.29,Credit Card,False
1011,2025-01-01,103,Abu Dhabi Khalidiyah,3,C028,Evening,568.39,541.86,Digital Wallet,False
1012,2025-02-13,104,Sharjah City Centre,4,C003,Evening,4020.74,290.76,Credit Card,False
1013,2025-01-31,103,Abu Dhabi Khalidiyah,3,C002,Evening,1928.97,0.0,Digital Wallet,False
1014,2025-03-13,101,Dubai Marina,5,C006,Evening,1024.86,0.0,Credit Card,False
1015,2025-02-17,105,Ajman Mall,2,C014,Morning,1129.18,136.54,Cash,False
1016,2025-01-29,105,Ajman Mall,5,C015,Afternoon,1806.84,0.0,Cash,True
1017,2025-02-13,105,Ajman Mall,2,C033,Morning,486.85,820.92,Debit Card,False
1018,2025-01-22,104,Sharjah City Centre,3,C039,Afternoon,2517.39,0.0,Cash,False
1019,2025-01-17,103,Abu Dhabi Khalidiyah,2,C002,Afternoon,2223.01,0.0,Credit Card,False
1020,2025-01-29,105,Ajman Mall,3,C036,Evening,3369.94,0.0,Digital Wallet,False
1021,2025-03-18,106,Ras Al Khaimah,2,C013,Evening,2105.61,0.0,Digital Wallet,False
1022,2025-03-02,106,Ras Al Khaimah,2,C035,Morning,2320.12,0.0,Credit Card,False
1023,2025-01-21,101,Dubai Marina,1,C027,Evening,3894.88,0.0,Cash,False
1024,2025-03-19,105,Ajman Mall,5,C015,Afternoon,4304.43,0.0,Cash,False
1025,2025-01-15,101,Dubai Marina,3,C029,Evening,643.63,0.0,Digital Wallet,False
1026,2025-01-01,103,Abu Dhabi Khalidiyah,4,C038,Evening,4442.56,0.0,Debit Card,False
1027,2025-03-14,103,Abu Dhabi Khalidiyah,1,C018,Morning,1712.12,0.0,Credit Card,False
1028,2025-03-10,101,Dubai Marina,3,C001,Morning,3788.58,0.0,Digital Wallet,False
1029,2025-03-09,106,Ras Al Khaimah,1,C011,Afternoon,1389.41,0.0,Cash,False
1030,2025-01-10,106,Ras Al Khaimah,4,C028,Evening,608.54,0.0,Credit Card,False
1031,2025-01-30,105,Ajman Mall,5,C022,Morning,1269.11,0.0,Cash,False
1032,2025-01-22,102,Dubai Mall,3,C018,Afternoon,2008.28,0.0,Digital Wallet,False
1033,2025-02-15,105,Ajman Mall,4,C010,Morning,2453.6,0.0,Debit Card,False
1034,2025-02-08,101,Dubai Marina,5,C014,Afternoon,2584.9,0.0,Credit Card,False
1035,2025-02-15,104,Sharjah City Centre,5,C022,Afternoon,374.49,0.0,Credit Card,False
1036,2025-03-20,102,Dubai Mall,5,C007,Evening,1013.66,0.0,Debit Card,False
1037,2025-01-20,102,Dubai Mall,2,C006,Afternoon,727.36,0.0,Credit Card,False
1038,2025-03-12,105,Ajman Mall,4,C025,Morning,2940.61,0.0,Debit Card,False
1039,2025-02-04,103,Abu Dhabi Khalidiyah,5,C007,Afternoon,619.64,681.21,Digital Wallet,False
